subject_id,image_name_1,image_name_2,image_name_3,source_name,ra,dec,#size
67,ILTJ143449.27+354330.3_I.png,ILTJ143449.27+354330.3_Ip.png,ILTJ143449.27+354330.3_S.png,ILTJ143449.27+354330.3,218.707616,35.722134,80.000000
66,ILTJ143450.16+354911.8_I.png,ILTJ143450.16+354911.8_Ip.png,ILTJ143450.16+354911.8_S.png,ILTJ143450.16+354911.8,218.708995,35.819956,30.000000
64,ILTJ143451.80+342705.6_I.png,ILTJ143451.80+342705.6_Ip.png,ILTJ143451.80+342705.6_S.png,ILTJ143451.80+342705.6,218.715842,34.451571,30.000000
63,ILTJ143452.15+343325.0_I.png,ILTJ143452.15+343325.0_Ip.png,ILTJ143452.15+343325.0_S.png,ILTJ143452.15+343325.0,218.717293,34.556946,40.000000
62,ILTJ143452.84+330436.2_I.png,ILTJ143452.84+330436.2_Ip.png,ILTJ143452.84+330436.2_S.png,ILTJ143452.84+330436.2,218.720169,33.076733,30.000000
61,ILTJ143454.50+334923.7_I.png,ILTJ143454.50+334923.7_Ip.png,ILTJ143454.50+334923.7_S.png,ILTJ143454.50+334923.7,218.727086,33.823271,30.000000
60,ILTJ143456.32+331214.6_I.png,ILTJ143456.32+331214.6_Ip.png,ILTJ143456.32+331214.6_S.png,ILTJ143456.32+331214.6,218.734657,33.204078,50.000000
59,ILTJ143508.08+352747.4_I.png,ILTJ143508.08+352747.4_Ip.png,ILTJ143508.08+352747.4_S.png,ILTJ143508.08+352747.4,218.783646,35.463170,40.000000
58,ILTJ143512.83+345824.1_I.png,ILTJ143512.83+345824.1_Ip.png,ILTJ143512.83+345824.1_S.png,ILTJ143512.83+345824.1,218.803459,34.973387,30.000000
57,ILTJ143517.09+325701.1_I.png,ILTJ143517.09+325701.1_Ip.png,ILTJ143517.09+325701.1_S.png,ILTJ143517.09+325701.1,218.821189,32.950305,30.000000
56,ILTJ143527.57+340503.2_I.png,ILTJ143527.57+340503.2_Ip.png,ILTJ143527.57+340503.2_S.png,ILTJ143527.57+340503.2,218.864871,34.084234,50.000000
55,ILTJ143535.24+344556.7_I.png,ILTJ143535.24+344556.7_Ip.png,ILTJ143535.24+344556.7_S.png,ILTJ143535.24+344556.7,218.896849,34.765765,40.000000
54,ILTJ143539.59+351145.3_I.png,ILTJ143539.59+351145.3_Ip.png,ILTJ143539.59+351145.3_S.png,ILTJ143539.59+351145.3,218.914967,35.195916,30.000000
53,ILTJ143541.67+345055.1_I.png,ILTJ143541.67+345055.1_Ip.png,ILTJ143541.67+345055.1_S.png,ILTJ143541.67+345055.1,218.923608,34.848659,40.000000
50,ILTJ143543.56+334313.2_I.png,ILTJ143543.56+334313.2_Ip.png,ILTJ143543.56+334313.2_S.png,ILTJ143543.56+334313.2,218.931516,33.720347,40.000000
52,ILTJ143544.80+354748.0_I.png,ILTJ143544.80+354748.0_Ip.png,ILTJ143544.80+354748.0_S.png,ILTJ143544.80+354748.0,218.936678,35.796691,90.000000
49,ILTJ143546.40+333329.6_I.png,ILTJ143546.40+333329.6_Ip.png,ILTJ143546.40+333329.6_S.png,ILTJ143546.40+333329.6,218.943343,33.558248,30.000000
51,ILTJ143546.97+350517.4_I.png,ILTJ143546.97+350517.4_Ip.png,ILTJ143546.97+350517.4_S.png,ILTJ143546.97+350517.4,218.945721,35.088188,30.000000
47,ILTJ143547.77+335536.7_I.png,ILTJ143547.77+335536.7_Ip.png,ILTJ143547.77+335536.7_S.png,ILTJ143547.77+335536.7,218.949054,33.926869,40.000000
43,ILTJ143547.88+325613.7_I.png,ILTJ143547.88+325613.7_Ip.png,ILTJ143547.88+325613.7_S.png,ILTJ143547.88+325613.7,218.949521,32.937160,60.000000
42,ILTJ143550.01+331415.8_I.png,ILTJ143550.01+331415.8_Ip.png,ILTJ143550.01+331415.8_S.png,ILTJ143550.01+331415.8,218.958358,33.237726,50.000000
48,ILTJ143550.74+351834.6_I.png,ILTJ143550.74+351834.6_Ip.png,ILTJ143550.74+351834.6_S.png,ILTJ143550.74+351834.6,218.961402,35.309619,30.000000
44,ILTJ143553.91+352401.9_I.png,ILTJ143553.91+352401.9_Ip.png,ILTJ143553.91+352401.9_S.png,ILTJ143553.91+352401.9,218.974643,35.400527,30.000000
40,ILTJ143555.49+334154.9_I.png,ILTJ143555.49+334154.9_Ip.png,ILTJ143555.49+334154.9_S.png,ILTJ143555.49+334154.9,218.981219,33.698605,30.000000
41,ILTJ143555.82+341439.3_I.png,ILTJ143555.82+341439.3_Ip.png,ILTJ143555.82+341439.3_S.png,ILTJ143555.82+341439.3,218.982581,34.244268,30.000000
39,ILTJ143602.48+354620.7_I.png,ILTJ143602.48+354620.7_Ip.png,ILTJ143602.48+354620.7_S.png,ILTJ143602.48+354620.7,219.010349,35.772421,30.000000
37,ILTJ143603.40+334349.6_I.png,ILTJ143603.40+334349.6_Ip.png,ILTJ143603.40+334349.6_S.png,ILTJ143603.40+334349.6,219.014147,33.730461,60.000000
38,ILTJ143604.61+334539.4_I.png,ILTJ143604.61+334539.4_Ip.png,ILTJ143604.61+334539.4_S.png,ILTJ143604.61+334539.4,219.019208,33.760965,30.000000
36,ILTJ143610.08+340709.1_I.png,ILTJ143610.08+340709.1_Ip.png,ILTJ143610.08+340709.1_S.png,ILTJ143610.08+340709.1,219.042013,34.119212,30.000000
35,ILTJ143615.02+334634.8_I.png,ILTJ143615.02+334634.8_Ip.png,ILTJ143615.02+334634.8_S.png,ILTJ143615.02+334634.8,219.062582,33.776335,30.000000
